,question,A,B,C,D,true_answer,predict_answer,predict_data,tag
10,The moves data between the computer and its external environment.,Data transport,IO,Register,CPU interconnection,B,B,"['io', 'computer must able move data outside world', 'manage data transfer memory external device', 'data receive deliver device directly connect computer process know input output io device refer peripheral data move longer distance remote device', 'data exchange processor external memory data bus', 'io module', 'external device io operation accomplish wide assortment external device', 'data data exchange processor io module data bus', 'data transfer disk location read source track main memory buffer write data buffer target track', 'external data path input output data external device', 'data communication data transfer device', 'user system data view store logical disk', 'data movement', 'dma transfer data io port memory address two io port two memory location', 'transfer io module processor', 'cpu exchange data memory', 'data receive deliver device directly connect computer process know input output io device refer peripheral data move longer distance remote device process know data communication', '2a simply transfer data one peripheral communication line another also function data storage device figure 1 2b', 'processor read word data io module store memory restore context program work program resume execution']",1
11,A common example of system interconnection is by means of a .,Register,System bus,Data transport,Control device,B,B,"['bus time', 'system bus', 'bus structure system bus consist typically fifty hundred separate line line assign particular mean function', 'bus support', '1 bus various multiplebus structure 2 pointtopoint interconnection structure packetized data transfer', 'bus interconnection', 'system bus', 'pointtopoint interconnection rather share bus', 'bus', 'peripheral device communication line', '3 4 bus interconnection', 'database man agement system']",1
12,"A is a mechanism that provides for communication among CPU, main memory, and IO.",System interconnection,CPU interconnection,Peripheral,Processor,A,A,"['system interconnection', 'cpu interconnection', 'cpu interconnection', 'interface processor main memory crucial pathway']",1
13,provide storage internal to the CPU.,Control units,ALUs,Main memory,Registers,D,D,"['register', 'register highspeed memory', 'memory address register mar specify address memory next read write memory buffer register mbr', 'main memory', 'io module transfer data external device cpu memory vice versa contain internal buffer', 'logical data memory', 'cpu memory', 'main memory', 'multiprocessor computer two processor common access main storage', 'store data main memory input', 'cache memory', 'register', 'blade cpu memory', 'processor register cache main memory external', 'secondary memory', 'memory subsystem internal system directly accessible processor']",1
14,The performs the computers data processing functions.,Register,CPU interconnection,ALU,System bus,C,C,"['arithmetic logic unit alu', 'generalpurpose hardware system accept data control signal produce result', 'alu', 'invoke file system software', 'cpu exchange data memory', 'integrate operate system']",1
15,The was the worlds first generalpurpose electronic digital computer.,UNIVAC,MARK IV,ENIAC,Holleriths Counting Machine,C,A,"['univac', 'eniac', 'univac']",0
16,The Electronic Numerical Integrator and Computer project was a response to U.S. needs during .,The Civil War,The FrenchAmerican War,World War I,World War II,D,D,['world war ii'],1
17,The ENIAC used .,Vacuum tubes,Integrated circuits,IAS,Transistors,A,A,"['use equation sumy nn12 write ia program', '10 vacuum tube']",1
18,The ENIAC is an example of a generation computer.,First,Second,Third,Fourth,A,A,"['first generation vacuum tube eniac', 'second generation']",1
19,The interprets the instructions in memory and causes them to be executed.,Main memory,Control unit,IO,Arithmetic and logic unit,B,B,"['need store instruction data tem porarily instruction execute word processor need small internal memory', 'control circuitry', 'control unit', 'cpu initiate io transfer send control signal data channel', 'load store instruction access memory location arithmetic logical instruction perform register immediate value encode instruction', 'eu complete execution instruction pas result biu destine memory io proceed next instruction', 'compiler reorder instruction one subsequent instruction depend memory load begin flow pipeline scheme le effective case superscalar pipeline independent instruction execute load likely execute first cycle load']",1
20,The memory of the IAS consists of 1000 storage locations called .,Opcodes,Wafers,VLSIs,Words,D,D,['9 location 1024 first word load module destine region memory address 1024'],1
21,The contains the 8bit opcode instruction being executed.,Memory buffer register,Instruction buffer register,Instruction register,Memory address register,C,C,"['instruction register ir', 'specify io opera tion follow 8bit port address', 'instruction extend additional opcode bite elsewhere format', 'instruction consist 1 2byte opcode follow zero six operand specifier depend opcode minimal instruction length 1 byte instruction 37 byte construct', 'opcode portion first 8 bite specify 21 instruction execute', 'machine language instruction binary string contain opcode operand reference', '300 different instruction 8 bite', 'format singleaddress memory reference instruction include page bite indirect bite', 'instruction format provide 4 bite', 'translate operand name appropriate register memory code', 'first byte contain opcode remainder immediate oper operand address', 'execute instruction ei perform indicate operation store result specify destination operand location', '16bit dx register many port 8088 address io address mode 7', 'processor instruction encode single 32bit word format']",1
22,During the the opcode of the next instruction is loaded into the IR and the address portion is loaded into the MAR.,Execute cycle,Fetch cycle,Instruction cycle,Clock cycle,B,B,"['fetch cycle', 'instruction value 1940 hexadecimal load instruction register ir pc incremented', 'instruction execution', 'one instruction execute', 'fetch instruction load register processor', 'instruction cycle 2 3', 'load instruction register target load lock processor', 'content register plus address next instruction n 1 push onto stack', 'opcode next instruction load ir address portion load mar', 'conditional branch encounter instruction fetch', 'transfer address instruction follow call place stack', 'opcode next instruction load ir address portion load mar', 'opcode next instruction load ir address portion load mar']",1
23,Second generation computers used .,Integrated circuits,Transistors,Vacuum tubes,Largescale integration,B,B,"['use transistor', 'transistor', '10000 transistor', 'second rapid pace change always characterize computer technology continue letup change cover aspect computer technology underlie integrate circuit technology use construct computer component increase use parallel organization concept combine component']",1
24,The defines the third generation of computers.,Integrated circuit,Vacuum tube,Transistor,VLSI,A,A,"['integrate circuit', 'use transistor', 'integrate circuit level three principal constituent computer system', 'third generation integrate circuit']",1
25,The use of multiple processors on the same chip is referred to as and provides the potential to increase performance without increasing the clock rate.,Multicore,GPU,Data channels,MPC,A,A,['multiple core multicore'],1
26,"With the , Intel introduced the use of superscalar techniques that allow multiple instructions to execute in parallel.",Core,8080,80486,Pentium,D,D,['pentium'],1
27,The measures the ability of a computer to complete a single task.,Clock speed,Speed metric,Execute cycle,Cycle time,B,B,"['speed metric', 'rate metric', 'total execution time machine cycle time program single computer b', 'double internal clock speed', 'let total execution time', 'instruction cycle', 'interactive compute facility often meet use dedicate microcomputer option available 1960s computer big costly instead time share', 'remain ing time application run single computer calculate effective speedup', 'assume remain code must execute sequentially single processor']",1
28,ARM processors are designed to meet the needs of .,Embedded realtime systems,Application platforms,Secure applications,All of the above,D,A,"['highperformance lowpowerconsumption smallsize lowcost processor embed appli cation', 'three system category', 'embed processor run complex operate system wireless consumer image application', 'requirement greater system power failsafe capability', 'embed processor architecture']",0
29,"One increment, or pulse, of the system clock is referred to as a .",Clock tick,Cycle time,Clock rate,Cycle speed,A,A,"['clock cycle clock tick', 'clock cycle clock tick', 'delay flipflop delay 0 1 apply input single clock pulse', 'counter incremented clock pulse j k input flipflop hold constant 1', '10 clock cycle', 'ratio reference run time system run time', 'cycle per second hertz hz', 'proportional sum inverse execution time']",1
30,"Virtually all contemporary computer designs are based on concepts developed by at the Institute for Advanced Studies, Princeton.",John Maulchy,John von Neumann,Herman Hollerith,John Eckert,B,B,['john von neumann institute advance study princeton design refer von neumann architecture'],1
31,The von Neumann architecture is based on which concept,Data and instructions are stored in a single readwrite memory,The contents of this memory are addressable by location,Execution occurs in a sequential fashion,All of the above,D,A,"['program could represent form suitable store memory alongside data', 'nonuniform memory access']",0
32,A sequence of codes or instructions is called .,Software,Memory,An interconnect,A register,A,A,"['software', 'software', 'register']",1
33,The processing required for a single instruction is called an cycle.,Execute,Fetch,Instruction,Packet,C,C,"['instruction typically take single clock cycle', 'instruction cycle', 'fetch add instruction', 'fewer cycle would need older processor example include instruction contain one memory address', 'three instruction describe three fetch three execute cycle require 1', 'one l instruction issue per cycle', 'common operation system automatically part instruction cycle', 'machine cycle define time take fetch two oper ands register perform alu operation store result register', 'execute cycle', 'sufficient thread active usually possible issue maximum number instruction cycle', 'single basic instruction may require three machine instruction', 'case one instruction issue pending queue', 'fetch cycle', 'two instruction', 'n thread execute one instruction every n cycle', 'proc essor assign thread issue two instruction per cycle', 'simple integer arithmetic logical instruction execute stage take one cycle load memory five cycle consume execute stage', 'instruc tions register register instruction cycle follow two stage instruction fetch e execute', 'instruction must execute serial rather parallel portion pipeline']",1
34,An is generated by a failure such as power failure or memory parity error.,IO interrupt,Hardware failure interrupt,Timer interrupt,Program interrupt,B,B,"['hardware failure', 'error correction semiconductor memory system subject error categorize hard failure soft error', 'raid make use store parity information enable recovery data lose due disk failure', 'hard failure', 'reliability bus essentially passive medium failure attach device cause failure whole system', 'machine check interrupt', 'mean time failure mtbf', 'hardware performance issue']",1
35,An is generated by some condition that occurs as a result of an instruction execution.,Timer interrupt,IO interrupt,Program interrupt,Hardware failure interrupt,C,C,"['program exception', 'interrupt program', 'result next instruction execute previously interrupt program', 'enable interrupt', 'interrupt', 'interrupt', 'io operation', 'program cannot restart', 'program exception', 'define instruction count ic program number machine instruction execute program run completion define time interval note number instruction execution number instruction object code program important parameter average cycle per instruction cpi']",1
36,The interconnection structure must support which transfer,Memory to processor,Processor to memory,IO to or from memory,All of the above,D,D,"['high transfer capacity must exist along entire path host memory individual disk drive', 'relate concept unit transfer internal memory unit transfer equal number electrical line memory', 'signal path available establish connection among io block logic block']",1
37,"A bus that connects major computer components processor, memory, IO is called a .",System bus,Address bus,Data bus,Control bus,A,A,"['system bus', 'common bus', 'front side bus', 'local bus connect processor cache controller', 'local bus connect processor cache memory may support one local device cache memory controller connect cache local bus system bus', 'system bus', 'internal controller bus host system io bus io adapter host memory bus', 'share bus', 'data bus', 'bus organization one device typically processor cache main memory', 'system bus similar interface would need interconnection structure describe chapter 3 reader recall major component processor arithmetic logic unit alu control unit', 'system bus', 'front side bus', 'io address register ioar']",1
38,The are used to designate the source or destination of the data on the data bus.,System lines,Data lines,Control lines,Address lines,D,D,"['address line', 'data bus portion system bus use transfer data', 'use store data', 'value transfer either data item result load store instruction instruction fetch', 'data move longer distance remote device process know data communication', 'assert acknowledge line signal processor data available', 'data receive deliver device directly connect computer process know input output io device refer peripheral', 'show data represent memory', 'address line', 'address', 'data buffer', 'two address line specify one three io port control register', 'number line refer width data bus', 'increase data rate bus carry use wider bus', 'external data path input output data external device', 'address', 'data bus width']",1
39,The data lines provide a path for moving data among system modules and are collectively called the .,Control bus,Address bus,Data bus,System bus,C,C,"['data bus', 'request module place vector data line aforementioned technique serve identify request io module', 'data buffer io module', 'data bus', 'memory module recognize address', 'data register', 'io module send control signal request permission send data', 'io module take item data byte word data bus', 'data movement', 'address io module unique identifier', 'address line', 'dma module act surrogate processor u program io exchange data memory io module dma module', 'dma module transfer one word return control processor', 'assert acknowledge line signal processor data available']",1
40,A is the highlevel set of rules for exchanging packets of data between devices.,Bus,Protocol,Packet,QPI,B,B,"['protocol', 'set communication protocol', 'set communication protocol', 'software layer generate read write request transport transaction layer io device use packetbased transaction protocol', 'protocol adapter', 'higherspeed interconnection bus', 'sequence packet include control header error control code', 'data link layer packet dllps']",1
41,Each data path consists of a pair of wires referred to as a that transmits data one bit at a time.,Lane,Path,Line,Bus,A,A,"['lane', 'bus', 'transfer direction lane', 'virtual lane temporarily dedicate transfer data one end node another infiniband fabric', 'external data path', 'one line associate binary 1 one line associate binary 0']",1
42,The receives read and write requests from the software above the TL and creates request packets for transmission to a destination via the link layer.,Transaction layer,Root layer,Configuration layer,Transport layer,A,A,"['pcie transaction layer transaction layer tl', 'tl software layer generate read write request transport transaction layer io device', 'upper layer software', 'tl software layer generate read write request transport transaction layer io device use packetbased transaction protocol', 'create request packet transmission destination via link layer', 'link layer', 'packetbased transaction protocol', 'link layer', 'pcie transaction layer transaction layer tl']",1
43,The TL supports which of the following address spaces,Memory,IO,Message,All of the above,D,B,"['entry available tlb tlb directly send physical address main memory read write operation', 'readwrite configuration register associate io device', 'io address space treat separately main memory address space', 'indirect address direct address length address field usually le word length thus limit address range one solution address field refer address word memory turn contain fulllength address operand']",0
44,The QPI layer is used to determine the course that a packet will traverse across the available system interconnects.,Link,Protocol,Routing,Physical,C,C,"['qpi rout layer', 'qpi protocol layer layer packet define unit transfer', 'qpi rout layer', 'link', 'pcie transaction layer transaction layer tl receive read write request software tl create request packet transmission destination via link layer', 'pcie data link layer', 'data link layer packet data link layer packet originate data link layer transmit device terminate dll device end link']",1
45,Internal memory capacity is typically expressed in terms of .,Hertz,Nanos,Bytes,LOR,C,C,"['byte', 'byte 1 byte 8 bite word', 'byte 1 byte 8 bite word', 'byte 1 byte 8 bite word']",1
46,refers to whether memory is internal or external to the computer.,Location,Access,Hierarchy,Tag,A,D,[],0
47,"For internal memory, the is equal to the number of electrical lines into and out of the memory module.",Access time,Unit of transfer,Capacity,Memory ratio,B,B,"['unit transfer', 'number electrical line memory module', 'equal number electrical line memory module', '15 suggest type exchange need indicate major form input output module type2 memory typically memory module consist n word equal length', 'volatile memory', 'main memory principal internal memory system computer location main memory unique address', 'interrupt entire block transfer', 'number electrical line memory module', 'unit transfer', 'equal number electrical line memory module', 'volatile memory', 'relocation multiprogramming system available main memory generally share among number process', 'io functionally similar memory two operation read write', 'equal number electrical line memory module', 'equal number electrical line memory module', 'equal number electrical line memory module']",1
48,Memory is organized into records and access must be made in a specific linear sequence is a description of .,Sequential access,Direct access,Random access,Associative,A,A,"['access must make specific linear sequence', 'access must make specific linear sequence', 'access must make specific linear sequence', 'memory organize record access must make specific linear sequence', 'access must make specific linear sequence']",1
49,individual blocks or records have a unique address based on physical location with .,Associative,Physical access,Direct access,Sequential access,C,C,"['access accomplish direct access reach general vicinity plus sequential search count wait reach final location', 'physical address actual location main memory processor exe cutis process automatically convert logical physical address add current start location process call base address logical address', 'real physical address generate combine frame number offset', 'logical address physical address logical address express location relative begin program', 'direct address', 'page frame address provide physical address page']",1
50,"For randomaccess memory, is the time from the instant that an address is presented to the memory to the instant that data have been stored or made available for use.",Memory cycle time,Direct access,Transfer rate,Access time,D,D,"['access time latency', 'time instant address present memory instant data store make available use', 'time instant address present memory instant data store make available use', 'time access give location independent sequence prior access', 'retrieval time constant independent location prior access pattern', 'time instant address present memory instant data store make available use', 'time instant address present memory instant data store make available use', 'time instant address present memory instant data store make available use', 'time instant address present memory instant data store make available use', 'time instant address present memory instant data store make available use', 'time instant address present memory instant data store make available use', 'time instant address present memory instant data store make available use', 'time instant address present memory instant data store make available use', 'time instant address present memory instant data store make available use', 'time access give location inde pendent sequence prior access constant', '1cycle time', 'time instant address present memory instant data store make available use', 'time instant address present memory instant data store make available use', 'time instant address present memory instant data store make available use', 'memory cycle time']",1
51,The consists of the access time plus any additional time required before a second access can commence.,Latency,Memory cycle time,Direct access,Transfer rate,B,B,"['memory cycle time', 'increase access time decrease frequency access memory processor', 'minimum time response one access request read write response next access request', 'access time twolevel memory provide significant performance improvement need approximately equal t1 t1', 'time access give location independent sequence prior access', 'time access give location inde pendent sequence prior access', 'access time variable', 'increase access time 1 5 n condition must meet change result improve performance', 'sum seek time rotational delay', 'memory access time', 'memory reference consist segment number offset form address', 'cache t1 access time level 1 t2 access time level 2', 'access time plus additional time require', 'access time plus additional time require', 'recharge time', 'time period successive refresh request b', 'burst mode eliminate address setup time row column line precharge time', 'access time plus additional time require', 'rotational latency', 'access time plus additional time require']",1
52,A portion of main memory used as a buffer to hold data temporarily that is to be read out to disk is referred to as a .,Disk cache,Latency,Virtual address,Miss,A,A,"['disk cache', 'buffer hold data temporarily read disk refer', 'write buffer full either already maxi mum number word data buffer slot new address processor stall sufficient space buffer nonwrite operation proceed write buffer continue write main memory buffer completely empty', 'word block memory read block transfer one line cache', 'cache memory', 'buffer hold data temporarily read disk refer']",1
53,A line includes a that identifies which particular block is currently being stored.,Cache,Hit,Tag,Locality,C,C,"['tag', 'mean need determine main memory block currently occupy cache line', 'real address generate form tag remainder', 'cache determine pair block least recently use mark replacement', 'line tag', 'set number set cache', 'cache size tag', 'tag', 'tag field uniquely identify block main memory determine whether block cache cache control logic must simultaneously examine every line tag', 'tag', 'cache size tag']",1
54,is the simplest mapping technique and maps each block of main memory into only one possible cache line.,Direct mapping,Associative mapping,Set associative mapping,None of the above,A,A,"['direct map', 'block main memory map one unique line cache', 'give two main memory address different tag map cache slot directmapped cache', 'associative map associative map', 'simplest map technique map block main memory one possible cache line', 'associative', 'simplest map technique map block main memory one possible cache line', 'map block main memory one possible cache line', 'simplest map technique map block main memory one possible cache line']",1
55,When using the technique all write operations made to main memory are made to the cache as well.,Write back,LRU,Write through,Unified cache,A,A,"['write write operation make main memory well cache ensure main memory always valid', 'write occur data cache write back main memory thus data write transfer cache write buffer', 'write back', 'least one write operation perform word line cache main mem ory must update write line cache block memory bring new block', 'write', 'access share memory cache miss', 'however write buffer full', 'data transfer main memory cache block 4 byte mean cache organize 16k 214 line 4 byte', 'cache memory special buffer storage smaller faster main storage', 'number cache cache originally introduce typical system single cache', 'add external cache use faster memory technology', 'writeback policy data write main mem ory remove cache update', 'one processor modify word cache', 'one cache modify copy line cache block memory read provide line request cache share bus', 'cache 10 time faster main memory', 'current instruction update memory compute value send cache businterface write buffer time', 'word block memory read block transfer one line cache', 'discus key element cache design', 'block main memory map one unique line cache next block 4 3 element cache design 127 main memory map cache fashion block bm main memory map line l0 cache']",1
56,The key advantage of the design is that it eliminates contention for the cache between the instruction fetchdecode unit and the execution unit.,Logical cache,Split cache,Unified cache,Physical cache,B,B,"['split cache design', 'eliminate contention cache instruction fetchdecode unit execution unit', 'eliminate contention cache', 'eliminate contention cache instruction fetchdecode unit execution unit', 'split cache', 'eliminate contention cache', 'eliminate contention cache instruction fetchdecode unit execution unit', 'fix cache location give block', 'eliminate contention cache', 'eliminate contention cache instruction fetchdecode unit execution unit', 'eliminate contention cache', 'eliminate contention cache', 'eliminate contention cache']",1
57,"The Pentium 4 component executes microoperations, fetching the required data from the L1 data cache and temporarily storing results in registers.",Fetchdecode unit,Outoforder execution logic,Execution unit,Memory subsystem,C,C,['cache memory execution unit'],1
58,"In reference to access time to a twolevel memory, a occurs if an accessed word is not found in the faster memory.",Miss,Hit,Line,Tag,A,A,"['miss', 'miss', 'hit ratio h']",1
59,A logical cache stores data using .,Physical addresses,Virtual addresses,Random addresses,None of the above,B,B,"['virtual address', 'main memory physical address']",1
60,Which properties do all semiconductor memory cells share,They exhibit two stable states which can be used to represent binary 1 and 0,They are capable of being written into to set the state,They are capable of being read to sense the state,All of the above,D,D,[],0
61,One distinguishing characteristic of memory that is designated as is that it is possible to both to read data from the memory and to write new data into the memory easily and rapidly.,RAM,ROM,EPROM,EEPROM,A,A,['ram'],1
62,Which of the following memory types are nonvolatile,Erasable PROM,Programmable ROM,Flash memory,All of the above,D,C,"['nonvolatile memory memory whose content stable require constant power source', 'noneras able memory', 'external nonvolatile memory also refer secondary memory auxiliary memory', 'semicon ductor memory come variety type differ speed cost data store permanently external mass storage device com mon hard disk removable medium', 'static memory cell', 'nonvolatile memory memory whose content stable require constant power source', 'word block memory read block transfer one line cache block line individual line cannot uniquely permanently dedicate particular block', 'virtual memory', 'rom', 'main memory location use fashion make sense employ efficiently every operand bring regis ter main memory', 'faster memory']",0
63,"In a , binary values are stored using traditional flipflop logicgate configurations.",ROM,SRAM,DRAM,RAM,B,D,[],0
64,"A contains a permanent pattern of data that cannot be changed, is nonvolatile, and cannot have new data written into it.",RAM,SRAM,ROM,Flash memory,C,C,"['readonly memory rom', 'nonvolatile memory information record remain without deterio ration deliberately change electrical power need retain informa tion magneticsurface memory nonvolatile', 'nonvolatile memory memory', 'nonerasable memory', 'volatile memory', 'static ram']",1
65,With the microchip is organized so that a section of memory cells are erased in a single action.,Flash memory,SDRAM,DRAM,EEPROM,A,A,"['flash memory', 'chip contain array memory cell', 'flash memory', 'memory cell device store one bite data', 'shin intense ultraviolet light window design memory chip', 'organization basic element semiconductor memory memory cell', '1mbyte memory organization', 'allocation resource main memory control jointly memorymanagement hardware processor', '8bit memory c architectural feature allow microprocessor access separate io space']",1
66,"can be caused by harsh environmental abuse, manufacturing defects, and wear.",SEC errors,Hard errors,Syndrome errors,Soft errors,B,B,"['hard error', 'soft error', 'errordetecting code often use detect transmission error', 'hard error', 'possibili tie hide error']",1
67,can be caused by power supply problems or alpha particles.,Soft errors,AGT errors,Hard errors,SEC errors,A,A,['soft error'],1
68,The exchanges data with the processor synchronized to an external clock signal and running at the full speed of the processormemory bus without imposing wait states.,DDRDRAM,SDRAM,CDRAM,None of the above,B,B,['sdram'],1
69,can send data to the processor twice per clock cycle.,CDRAM,SDRAM,DDRSDRAM,RDRAM,C,C,['ddr sdram'],1
70,increases the data transfer rate by increasing the operational frequency of the RAM chip and by increasing the prefetch buffer from 2 bits to 4 bits per chip.,DDR2,RDRAM,CDRAM,DDR3,A,A,"['ddr2', 'theoretically ddr module transfer data clock rate range 200 600 mhz ddr2 module transfer clock rate 400 1066 mhz ddr3 module transfer clock rate 800 1600 mhz']",1
71,increases the prefetch buffer size to 8 bits.,CDRAM,RDRAM,DDR3,All of the above,C,C,"['ddr3', 'ddr3']",1
72,"Theoretically, a DDR module can transfer data at a clock rate in the range of MHz.",200 to 600,400 to 1066,600 to 1400,800 to 1600,A,A,['200 600 mhz'],1
73,A DDR3 module transfers data at a clock rate of MHz.,600 to 1200,800 to 1600,1000 to 2000,1500 to 3000,B,B,['800 1600 mhz'],1
74,The enables the RAM chip to preposition bits to be placed on the data bus as rapidly as possible.,Flash memory,Hamming code,RamBus,Buffer,D,D,"['buffer', 'buffer', 'read data memory write new data memory easily rapidly read write accomplish use electrical signal', 'buffer', 'noncacheable memory identify use chipselect logic highaddress bite', 'give array configuration chip memory board show quired input output signal assign memory lowest address space', 'fast memory']",1
75,"Greater ability to withstand shock and damage, improvement in the uniformity of the magnet film surface to increase disk reliability, and a significant reduction in overall surface defects to help reduce readwrite errors, are all benefits of .",magnetic read and write mechanisms,platters,the glass substrate,a solid state drive,C,C,['glass substrate'],1
76,Adjacent tracks are separated by .,sectors,gaps,pits,heads,B,B,"['gap', 'track width head', 'gap', 'j head currently position track', 'intervene sector', 'intratrack intersec tor gap', 'successive track cylinder read without head movement disk capacity', 'head mount rigid arm extend across track', 'define term track cylinder sector', 'intratrack intersec tor gap', '32 sector per track store linear order sector 0 sector 31']",1
77,Data are transferred to and from the disk in .,tracks,gaps,sectors,pits,C,C,"['sector figure 6 2', 'data transfer disk location read source track main memory buffer']",1
78,"In most contemporary systems fixedlength sectors are used, with bytes being the nearly universal sector size.",64,128,256,512,D,D,"['512 byte', '512 byte']",1
79,Scanning information at the same rate by rotating the disk at a fixed speed is known as the .,constant angular velocity,magnetoresistive,rotational delay,constant linear velocity,A,A,"['constant angular velocity cav', 'disk drive operate disk rotate constant speed']",1
80,The disadvantage of is that the amount of data that can be stored on the long outer tracks is only the same as what can be stored on the short inner tracks.,SSD,CAV,ROM,CLV,B,B,"['cav', 'cav amount data store long outer track store short inner track']",1
81,"A disk is permanently mounted in the disk drive, such as the hard disk in a personal computer.",nonremovable,movablehead,double sided,removable,A,A,"['nonremovable disk', 'nonremovable disk']",1
82,When the magnetizable coating is applied to both sides of the platter the disk is then referred to as .,multiple sided,substrate,double sided,all of the above,C,C,"['double side', 'substrate', 'magnetizable coat apply side platter disk', 'magnetizable coat apply side platter disk refer', 'magnetizable coat apply side platter disk refer', 'magnetic disk flat circular plate magnetizable surface layer one side data store magnetic tape', 'magnetizable coat apply side platter disk', 'magnetizable coat apply side platter disk refer', 'magnetizable coat apply side platter disk refer', 'magnetizable coat apply side platter disk refer', 'magnetizable coat apply side platter disk refer', 'magnetizable coat apply side platter disk refer', 'magnetizable coat apply side platter disk']",1
83,The set of all the tracks in the same relative position on the platter is referred to as a .,floppy disk,singlesided disk,sector,cylinder,D,D,"['cylinder', 'cylinder', 'multipleplatter disk employ movable head']",1
84,"The sum of the seek time and the rotational delay equals the , which is the time it takes to get into position to read or write.",access time,gap time,transfer time,constant angular velocity,A,A,"['access time', 'one involve larger seek time plus rotational latency', 'memory cycle time', 'transfer time', 'average seek time', 'minimum seek time plus rotational latency', 'sum seek time rotational delay', 'sum seek time rotational delay', 'instruction cycle time', 'sum seek time rotational delay', 'fetch execute stage equal duration instruction cycle time would halve', 'average seek 4 rotational delay 2 read 1 sector 0 008 6 008 total time 2500 6', 'sum seek time rotational delay', 'access time', 'larger seek time plus rotational latency', 'sum seek time rotational delay', 'sum seek time rotational delay equal time take get position read write', 'transfer time', 'sum seek time rotational delay']",1
85,is the standardized scheme for multipledisk database design.,RAID,CAV,CLV,SSD,A,A,"['industry agree standardize scheme multipledisk database design know 196 chapter 6 external memory raid redundant array independent disk', '196 chapter 6 external memory raid redundant array independent disk']",1
86,RAID level has the highest disk overhead of all RAID types.,0,1,3,5,B,A,"['raid 0', '0', 'raid level 1 raid level 2', 'raid level 3', 'raid 0']",0
87,A is a highdefinition video disk that can store 25 Gbytes on a single layer on a single side.,DVD,DVDR,DVDRW,Bluray DVD,D,A,"['hd dvd', 'bluray', 'highdefinition optical disk highdefinition optical disk design store highdefinition video provide significantly greater storage capacity compare dvd', 'bluray dvd']",0
88,is when the disk rotates more slowly for accesses near the outer edge than for those near the center.,Constant angular velocity CAV,Magnetoresistive,Constant linear velocity CLV,Seek time,C,C,"['pit read laser constant linear velocity clv disk rotate slowly', 'rotate constant speed', 'lower access time latency rate 10 time faster spin disk hdd currently hdds enjoy cost per bite advantage capacity advantage difference shrink']",1
89,The areas between pits are called .,lands,sectors,cylinders,strips,A,A,"['land', 'land']",1
90,The contains logic for performing a communication function between the peripheral and the bus.,IO channel,IO module,IO processor,IO command,B,B,"['io module', 'io module', 'io module', 'processor communi cation involve follow command decode io module', 'one module wish send data another must two thing 1 obtain use bus 2 transfer data via bus one module wish request data another module must 1 obtain use bus 2 transfer request module appropriate control address line', 'expansion bus interface buffer data transfer system bus io controller', 'logic within module', 'would impractical incorporate necessary logic within processor']",1
91,The most common means of computeruser interaction is a .,keyboardmonitor,mouseprinter,modemprinter,monitorprinter,A,A,['keyboardmonitor'],1
